,Predicted R_t
1134,-0.06308609
1135,-0.061587885
1136,-0.051475726
1137,-0.06691929
1138,-0.096005045
1139,-0.11617206
1140,-0.11914807
1141,-0.11135124
1142,-0.086699985
1143,-0.10732078
1144,-0.103609145
1145,-0.09501907
1146,-0.1175877
1147,-0.122445114
1148,-0.12213386
1149,-0.081823476
1150,-0.06823152
1151,-0.08924479
1152,-0.112659805
1153,-0.07378189
1154,-0.038534537
1155,-0.037687514
1156,-0.026266154
1157,-0.07340553
1158,-0.09036451
1159,-0.07668247
1160,-0.0913887
1161,-0.06966149
1162,-0.105367005
1163,-0.090093635
1164,-0.116190925
1165,-0.11262299
1166,-0.10276665
1167,-0.11892232
1168,-0.13038617
1169,-0.13247259
1170,-0.11546634
1171,-0.17287636
1172,-0.13193052
1173,-0.11809414
1174,-0.14489125
1175,-0.14806038
1176,-0.13377136
1177,-0.15524603
1178,-0.11754105
1179,-0.078087255
1180,-0.038560946
1181,-0.04367429
1182,-0.040441778
1183,-0.008547863
1184,-0.027858034
1185,-0.02671095
1186,-0.003470698
1187,0.069646604
1188,0.119204745
1189,0.11968871
1190,0.10128384
1191,0.0974193
1192,0.016195623
1193,0.008183963
1194,0.008871736
1195,0.02684712
1196,0.035362955
1197,0.02285202
1198,-0.005122853
1199,-0.0050202063
1200,-0.019159395
1201,-0.040195026
1202,0.0036356302
1203,-0.031573623
1204,-0.03520223
1205,-0.049022406
1206,-0.045546744
1207,-0.10161364
1208,-0.11956111
1209,-0.15116659
1210,-0.16010118
1211,-0.16084585
1212,-0.1809413
1213,-0.13933982
1214,-0.12141382
1215,-0.1243146
1216,-0.12297904
1217,-0.08976197
1218,-0.08524479
1219,-0.1101937
1220,-0.09012701
1221,-0.14330201
1222,-0.15164089
1223,-0.16448776
1224,-0.10497638
1225,-0.08911505
1226,-0.06551399
1227,-0.034070686
1228,-0.0039571864
1229,0.020410867
1230,0.05468852
1231,0.058186043
1232,0.049479034
1233,0.08239581
1234,0.08785385
1235,0.042465784
1236,0.027468817
1237,0.074896544
1238,0.10570669
1239,0.0693335
1240,0.068724394
1241,0.09569972
1242,0.14259513
1243,0.14089152
1244,0.12968643
1245,0.0945607
1246,0.046546753
1247,0.0634769
1248,0.023248164
1249,0.050941817
1250,0.014845839
1251,0.00639791
1252,0.0134951975
1253,0.04001174
1254,0.08323142
1255,0.06931769
1256,0.07903554
1257,0.052299917
1258,0.10366652
1259,0.08408501
1260,0.06322011
1261,0.07995083
1262,0.010420867
1263,0.004623322
1264,-0.0035936027
1265,0.0072195097
1266,0.02273067
1267,0.051430296
1268,0.015120487
1269,-0.0013697506
1270,-0.026097357
1271,-0.038270146
1272,-0.042149
1273,-0.03521051
1274,-0.029517286
1275,-0.060429484
1276,-0.06756269
1277,-0.069457784
1278,-0.040442057
1279,-0.07710475
1280,-0.08724504
1281,-0.10334798
1282,-0.09973392
1283,-0.037283514
1284,-0.027676836
1285,-0.01956394
1286,-0.03136636
1287,-0.009781801
1288,0.0019735186
1289,-0.013007172
1290,0.0015157005
1291,0.0120132305
1292,-0.0042561884
1293,-0.008918308
1294,-0.003967688
1295,0.011562536
1296,-0.0026668557
1297,-0.04519341
1298,-0.04224231
1299,-0.06272113
1300,-0.061139584
1301,-0.030887522
1302,-0.054784942
1303,-0.05042792
1304,-0.06261265
1305,-0.08450797
1306,-0.08637995
1307,-0.09273366
1308,-0.08224589
1309,-0.10953929
1310,-0.1000402
1311,-0.11904632
1312,-0.11435508
1313,-0.12755881
1314,-0.092152074
1315,-0.09203524
1316,-0.07624072
1317,-0.06186539
1318,-0.06852161
1319,-0.036224525
1320,-0.037451774
1321,-0.020064669
1322,-0.03752601
1323,-0.05031197
1324,-0.036389284
1325,-0.056333046
1326,-0.059054337
1327,-0.07385337
1328,-0.06192296
1329,-0.092740364
1330,-0.0718927
1331,-0.05652386
1332,-0.084697336
1333,-0.07955123
1334,-0.021791395
1335,-0.0142423
1336,-0.027465753
1337,-0.013393802
1338,-0.023542667
1339,0.014232538
1340,0.011951721
1341,0.023239614
1342,0.010154679
1343,0.028537603
1344,0.018633567
1345,0.014953125
1346,0.013146805
1347,0.0010094563
1348,0.034287203
1349,0.054696806
1350,0.08802294
1351,0.1045133
1352,0.14135449
1353,0.13324179
1354,0.1631326
1355,0.11245737
1356,0.08275407
1357,0.071886584
1358,0.07662096
1359,0.04935788
1360,0.06394651
1361,0.036104318
1362,0.08347589
1363,0.063744515
1364,0.04404368
1365,0.057268962
1366,0.055993006
1367,0.11105102
1368,0.110152826
1369,0.053181037
1370,0.06303593
1371,0.082909666
1372,0.03551184
1373,0.019095058
1374,0.036034405
1375,0.05195589
1376,0.04423564
1377,0.0355113
1378,0.03995513
1379,0.030955378
1380,0.021910122
1381,0.018322356
1382,-0.00017856667
1383,-0.022857822
1384,-0.027455144
1385,-0.034079686
1386,-0.0040776613
1387,-0.013700572
1388,0.01343999
1389,0.028791692
1390,0.01815712
1391,0.027212387
1392,0.031369165
1393,0.009380362
1394,0.026619274
1395,0.051472373
1396,0.063176714
1397,0.057134815
1398,0.06411602
1399,0.055816237
1400,0.048343748
1401,0.03226552
1402,0.08768499
1403,0.10183234
1404,0.09291382
1405,0.09745133
1406,0.093859665
1407,0.09260794
1408,0.07716902
1409,0.06575937
1410,0.059559315
1411,0.04608302
1412,0.034648933
1413,0.037195884
